person,exp_id,seed,seq_len,pre_len,use_diffusion,use_pe_graph,use_pe_film,ablation,status,test_rmse,test_mae,test_mape,best_epoch,best_valid_rmse,best_valid_mae,relative_rmse,relative_mae
A,A01,42,12,3,0,1,1,no_diff,success,9.17,6.37,26.84,13,9.75,6.87,2.24,1.55
A,A02,42,24,3,0,1,1,no_diff,success,8.81,5.9,25.26,44,9.35,6.33,2.15,1.44
A,A03,42,12,6,0,1,1,no_diff,success,11.31,7.75,31.26,19,11.98,8.46,2.76,1.89
A,A04,42,24,6,0,1,1,no_diff,success,11.04,7.65,30.14,15,11.68,8.3,2.69,1.87
A,A05,42,12,3,1,1,1,full,success,9.11,6.54,27.99,32,9.71,7.0,2.22,1.59
A,A06,42,24,3,1,1,1,full,success,8.62,5.84,24.0,52,9.41,6.45,2.1,1.42
A,A07,42,12,6,1,1,1,full,success,11.59,8.37,34.5,30,13.1,9.5,2.83,2.04
A,A08,42,24,6,1,1,1,full,success,11.07,7.67,30.88,50,12.11,8.5,2.7,1.87
B,B01,42,12,6,1,0,1,no_pe_graph,success,11.3,7.99,33.33,37,12.89,9.16,2.76,1.95
B,B02,42,12,3,1,0,1,no_pe_graph,success,9.05,6.32,26.51,54,9.7,6.8,2.21,1.54
B,B03,42,24,6,1,0,1,no_pe_graph,success,11.6,8.51,35.61,17,12.44,9.09,2.83,2.08
B,B04,42,24,3,1,0,1,no_pe_graph,success,11.5,9.31,44.61,13,11.63,9.31,2.81,2.27
B,B05,42,12,6,1,1,0,no_pe_film,success,12.11,8.44,33.35,26,13.65,9.72,2.95,2.06
B,B06,42,12,3,1,1,0,no_pe_film,success,10.66,8.26,34.36,15,11.23,8.74,2.6,2.01
B,B07,42,24,6,1,1,0,no_pe_film,success,12.06,8.87,36.57,21,13.61,10.26,2.94,2.16
B,B08,42,24,3,1,1,0,no_pe_film,success,9.39,6.56,27.64,51,10.05,7.03,2.29,1.6
C,C01,52,12,3,1,1,1,full,success,8.8,6.0,24.89,62,9.53,6.6,2.15,1.46
C,C02,52,12,6,1,1,1,full,success,11.43,8.09,33.48,38,12.61,8.84,2.79,1.97
C,C03,52,24,3,1,1,1,full,success,8.8,6.14,26.21,35,9.55,6.81,2.15,1.5
C,C04,52,24,6,1,1,1,full,success,11.01,7.73,31.97,41,12.05,8.38,2.69,1.89
C,C05,52,12,3,0,1,1,no_diff,success,9.14,6.5,28.05,19,9.62,6.86,2.23,1.58
C,C06,52,12,6,0,1,1,no_diff,success,11.16,7.76,32.66,24,11.88,8.44,2.72,1.89
C,C07,52,24,3,0,1,1,no_diff,success,8.79,5.95,25.2,26,9.29,6.31,2.14,1.45
C,C08,52,24,6,0,1,1,no_diff,success,10.88,7.72,32.06,14,11.61,8.24,2.65,1.88
D,D01,52,12,6,1,0,1,no_pe_graph,success,11.51,8.34,34.15,26,12.89,9.2,2.81,2.03
D,D02,52,12,3,1,0,1,no_pe_graph,success,10.4,7.8,31.11,31,10.79,8.02,2.54,1.9
D,D03,52,24,6,1,0,1,no_pe_graph,success,11.11,8.01,31.55,24,12.24,8.84,2.71,1.95
D,D04,52,24,3,1,0,1,no_pe_graph,success,9.75,7.11,29.89,37,10.06,7.33,2.38,1.73
D,D05,52,12,6,1,1,0,no_pe_film,success,12.01,8.47,34.2,30,13.34,9.53,2.93,2.07
D,D06,52,12,3,1,1,0,no_pe_film,success,10.81,8.29,35.0,25,11.2,8.69,2.64,2.02
D,D07,52,24,6,1,1,0,no_pe_film,success,11.31,7.93,30.44,28,12.46,8.7,2.76,1.93
D,D08,52,24,3,1,1,0,no_pe_film,success,9.82,7.16,30.4,25,10.17,7.45,2.39,1.75
E,E01,42,24,1,1,1,1,full,success,6.11,4.07,17.52,56,6.49,4.36,1.49,0.99
E,E02,42,24,12,1,1,1,full,success,14.47,10.63,41.89,29,16.81,12.04,3.53,2.59
E,E03,42,24,24,1,1,1,full,success,17.42,12.58,43.69,20,17.68,13.39,4.25,3.07
