group,student,exp_id,model,seq_len,pre_len,seed,use_diffusion,use_pe_graph,use_pe_film,ablation,exp_name
g3,,A01,pedw,12,6,42,1,1,1,full,g3_pedw_p6_l12_s42
g3,,A02,pedw,12,3,42,1,1,1,full,g3_pedw_p3_l12_s42
g3,,A03,pedw,24,6,42,1,1,1,full,g3_pedw_p6_l24_s42
g3,,A04,pedw,24,3,42,1,1,1,full,g3_pedw_p3_l24_s42
g3,,A05,pedw,12,6,42,0,1,1,no_diff,g3_pedw_no_diff_p6_l12_s42
g3,,A06,pedw,12,3,42,0,1,1,no_diff,g3_pedw_no_diff_p3_l12_s42
g3,,A07,pedw,24,6,42,0,1,1,no_diff,g3_pedw_no_diff_p6_l24_s42
g3,,A08,pedw,24,3,42,0,1,1,no_diff,g3_pedw_no_diff_p3_l24_s42
g3,,B01,pedw,12,6,42,1,0,1,no_pe_graph,g3_pedw_no_pe_graph_p6_l12_s42
g3,,B02,pedw,12,3,42,1,0,1,no_pe_graph,g3_pedw_no_pe_graph_p3_l12_s42
g3,,B03,pedw,24,6,42,1,0,1,no_pe_graph,g3_pedw_no_pe_graph_p6_l24_s42
g3,,B04,pedw,24,3,42,1,0,1,no_pe_graph,g3_pedw_no_pe_graph_p3_l24_s42
g3,,B05,pedw,12,6,42,1,1,0,no_pe_film,g3_pedw_no_pe_film_p6_l12_s42
g3,,B06,pedw,12,3,42,1,1,0,no_pe_film,g3_pedw_no_pe_film_p3_l12_s42
g3,,B07,pedw,24,6,42,1,1,0,no_pe_film,g3_pedw_no_pe_film_p6_l24_s42
g3,,B08,pedw,24,3,42,1,1,0,no_pe_film,g3_pedw_no_pe_film_p3_l24_s42
g3,,C01,pedw,12,6,52,1,1,1,full,g3_pedw_p6_l12_s52
g3,,C02,pedw,12,3,52,1,1,1,full,g3_pedw_p3_l12_s52
g3,,C03,pedw,24,6,52,1,1,1,full,g3_pedw_p6_l24_s52
g3,,C04,pedw,24,3,52,1,1,1,full,g3_pedw_p3_l24_s52
g3,,C05,pedw,12,6,52,0,1,1,no_diff,g3_pedw_no_diff_p6_l12_s52
g3,,C06,pedw,12,3,52,0,1,1,no_diff,g3_pedw_no_diff_p3_l12_s52
g3,,C07,pedw,24,6,52,0,1,1,no_diff,g3_pedw_no_diff_p6_l24_s52
g3,,C08,pedw,24,3,52,0,1,1,no_diff,g3_pedw_no_diff_p3_l24_s52
g3,,D01,pedw,12,6,52,1,0,1,no_pe_graph,g3_pedw_no_pe_graph_p6_l12_s52
g3,,D02,pedw,12,3,52,1,0,1,no_pe_graph,g3_pedw_no_pe_graph_p3_l12_s52
g3,,D03,pedw,24,6,52,1,0,1,no_pe_graph,g3_pedw_no_pe_graph_p6_l24_s52
g3,,D04,pedw,24,3,52,1,0,1,no_pe_graph,g3_pedw_no_pe_graph_p3_l24_s52
g3,,D05,pedw,12,6,52,1,1,0,no_pe_film,g3_pedw_no_pe_film_p6_l12_s52
g3,,D06,pedw,12,3,52,1,1,0,no_pe_film,g3_pedw_no_pe_film_p3_l12_s52
g3,,D07,pedw,24,6,52,1,1,0,no_pe_film,g3_pedw_no_pe_film_p6_l24_s52
g3,,D08,pedw,24,3,52,1,1,0,no_pe_film,g3_pedw_no_pe_film_p3_l24_s52
