Station,StationName,6h,9h,12h,24h,48h,72h
1,万寿西宫,0.3577,0.4982,0.5877,0.7485,0.7872,0.7984
2,定陵(对照点),0.399,0.5484,0.6377,0.7865,0.8213,0.8306
3,东四,0.3452,0.4846,0.5741,0.7371,0.7729,0.7825
4,天坛,0.3376,0.4768,0.5683,0.7338,0.7703,0.7807
5,农展馆,0.3569,0.4967,0.5866,0.747,0.7839,0.7943
6,官园,0.3507,0.4917,0.5809,0.7365,0.7755,0.7867
7,海淀万柳,0.3577,0.5009,0.5923,0.7483,0.7862,0.7975
8,顺义新城,0.3551,0.4966,0.5875,0.7461,0.781,0.7912
9,怀柔镇,0.4003,0.5519,0.6414,0.7855,0.8194,0.8295
10,昌平镇,0.4197,0.5732,0.6632,0.8051,0.8393,0.8488
11,奥体中心,0.3729,0.5146,0.6044,0.7637,0.8013,0.8124
12,古城,0.3896,0.5376,0.6276,0.7758,0.8143,0.8249
13,勤俭道,0.3745,0.5216,0.6118,0.7612,0.7964,0.8066
14,前进道,0.3785,0.527,0.6175,0.7646,0.7981,0.8079
15,永明路,0.4042,0.5552,0.6454,0.7871,0.8202,0.8294
16,汉北路,0.4155,0.5685,0.6575,0.7988,0.8327,0.8427
17,职工医院,0.3566,0.4947,0.5834,0.7435,0.7802,0.7919
18,西北水源,0.3551,0.4944,0.5858,0.7496,0.7844,0.7944
19,十二中,0.374,0.5194,0.6085,0.7551,0.7919,0.8034
20,建设大厦,0.4238,0.5809,0.6714,0.8114,0.8442,0.8535
21,接待中心,0.358,0.5005,0.5904,0.7476,0.7859,0.7973
22,监测站,0.3717,0.5192,0.6096,0.7608,0.7967,0.806
23,人民公园,0.3801,0.5316,0.6239,0.7701,0.8048,0.8146
24,世纪豪园,0.4206,0.5818,0.6717,0.796,0.8302,0.8404
25,铁路,0.4196,0.5742,0.6643,0.8037,0.8368,0.8459
26,中国银行,0.3472,0.4862,0.5779,0.7438,0.7802,0.7901
27,开发区,0.3711,0.5145,0.6047,0.7592,0.7959,0.8069
28,文化中心,0.3866,0.5369,0.6282,0.7742,0.8099,0.8196
29,药材公司,0.3414,0.4823,0.5733,0.7327,0.7698,0.7803
30,开发区,0.35,0.4918,0.5803,0.7358,0.7717,0.7817
31,沧县城建局,0.3964,0.5506,0.6411,0.7823,0.8162,0.8259
32,市环保局,0.3984,0.5495,0.6396,0.7812,0.816,0.8268
33,尖草坪,0.3992,0.5489,0.639,0.7907,0.8233,0.8329
34,晋源,0.4126,0.5644,0.6529,0.7985,0.8312,0.8404
35,小店,0.3767,0.5205,0.6084,0.7629,0.7985,0.8087
36,桃园,0.3866,0.5329,0.6247,0.783,0.8162,0.8256
