test_window,step,pred_mean,pred_std,true_value
1,1,2.917218,8.122167,-1.422469
1,2,-6.406140,9.831702,-1.422469
1,3,-2.583058,5.061947,-1.442397
1,4,-5.535585,4.614991,-1.442397
1,5,-3.838588,6.474462,-1.422469
1,6,3.380297,6.645368,-1.382613
2,1,-7.484779,7.476220,-1.422469
2,2,2.023581,7.122027,-1.442397
2,3,4.104368,12.290110,-1.442397
2,4,-2.645917,8.630747,-1.422469
2,5,2.935326,7.097739,-1.382613
2,6,-0.691250,6.816117,-1.302901
3,1,-1.266004,5.686655,-1.442397
3,2,2.554439,8.403754,-1.442397
3,3,-6.296385,4.070585,-1.422469
3,4,-3.913553,9.786232,-1.382613
3,5,-2.825535,5.114504,-1.302901
3,6,-1.989533,7.574786,-1.183333
4,1,-3.178904,4.801745,-1.442397
4,2,4.124967,3.972157,-1.422469
4,3,2.620365,6.482304,-1.382613
4,4,2.729411,9.189563,-1.302901
4,5,-2.561112,6.228736,-1.183333
4,6,2.845266,4.617237,-1.023908
5,1,-6.022839,11.741954,-1.422469
5,2,-1.408617,6.795229,-1.382613
5,3,2.362844,7.372280,-1.302901
5,4,-2.128098,13.893042,-1.183333
5,5,0.429003,12.800212,-1.023908
5,6,1.377390,6.519844,-0.884412
6,1,-6.877708,9.424088,-1.382613
6,2,-3.301077,11.148353,-1.302901
6,3,5.134218,8.346572,-1.183333
6,4,2.131797,8.926065,-1.023908
6,5,-1.777798,5.666561,-0.884412
6,6,-0.665101,8.302662,-0.804700
7,1,1.269781,4.828116,-1.302901
7,2,-2.819911,9.468315,-1.183333
7,3,-3.040397,7.007698,-1.023908
7,4,0.424237,12.317872,-0.884412
7,5,-2.122861,11.472774,-0.804700
7,6,1.219232,9.240591,-0.665204
8,1,-2.125587,6.570771,-1.183333
8,2,-1.168863,5.239600,-1.023908
8,3,-5.226148,4.923671,-0.884412
8,4,-4.586198,5.144266,-0.804700
8,5,-0.140143,9.284550,-0.665204
8,6,-1.065894,7.339769,-0.665204
9,1,0.084698,6.042487,-1.023908
9,2,-5.569705,5.838349,-0.884412
9,3,1.487792,6.438287,-0.804700
9,4,4.642942,7.929216,-0.665204
9,5,-3.011078,8.872621,-0.665204
9,6,-0.804824,11.131670,-0.764844
10,1,-4.109591,8.311232,-0.884412
10,2,-3.045383,7.876764,-0.804700
10,3,-0.547592,11.558149,-0.665204
10,4,0.852112,7.420638,-0.665204
10,5,-4.879056,7.069736,-0.764844
10,6,2.331112,3.463454,-1.023908
11,1,-5.617144,10.519780,-0.804700
11,2,1.789998,7.788484,-0.665204
11,3,0.174694,9.304897,-0.665204
11,4,-0.284573,6.355876,-0.764844
11,5,0.666882,10.584181,-1.023908
11,6,3.315612,5.276970,-1.223189
12,1,-4.005268,9.233520,-0.665204
12,2,2.655368,7.662017,-0.665204
12,3,-0.347015,8.336627,-0.764844
12,4,0.261660,4.730109,-1.023908
12,5,1.349376,9.977160,-1.223189
12,6,1.663337,7.143372,-1.183333
13,1,-1.214919,3.107595,-0.665204
13,2,-0.700496,10.935839,-0.764844
13,3,-1.725124,6.858852,-1.023908
13,4,-2.968558,10.351701,-1.223189
13,5,-1.697277,6.346865,-1.183333
13,6,0.628519,5.422208,-1.203261
14,1,-3.626935,9.453537,-0.764844
14,2,-1.669754,6.490998,-1.023908
14,3,3.017467,6.133574,-1.223189
14,4,-7.776160,4.414948,-1.183333
14,5,-2.102910,7.036800,-1.203261
14,6,-0.645516,7.714415,-1.342757
15,1,-0.854154,6.485027,-1.023908
15,2,-0.196694,7.671125,-1.223189
15,3,2.180564,6.984149,-1.183333
15,4,-2.692565,7.795549,-1.203261
15,5,-3.394327,3.607645,-1.342757
15,6,-0.496399,7.860569,-1.382613
16,1,-2.216768,8.060713,-1.223189
16,2,-3.740646,11.028463,-1.183333
16,3,-6.858806,7.272840,-1.203261
16,4,2.505064,6.088510,-1.342757
16,5,1.216473,7.897732,-1.382613
16,6,0.404305,8.500282,-1.402541
17,1,-2.737478,7.606769,-1.183333
17,2,-1.025451,8.424943,-1.203261
17,3,-1.069104,8.589113,-1.342757
17,4,1.269903,10.607890,-1.382613
17,5,-4.477662,4.488475,-1.402541
17,6,3.663854,4.565876,-1.402541
18,1,1.234032,8.382506,-1.203261
18,2,-1.381244,6.283572,-1.342757
18,3,-0.379895,10.635014,-1.382613
18,4,2.507530,8.094099,-1.402541
18,5,0.395455,9.467277,-1.402541
18,6,-0.174495,12.775290,-1.422469
19,1,1.889013,4.387353,-1.342757
19,2,2.458371,5.934488,-1.382613
19,3,-3.975327,8.512005,-1.402541
19,4,0.150327,11.371650,-1.402541
19,5,-2.167192,10.132277,-1.422469
19,6,0.474435,6.180119,-1.422469
20,1,4.401658,4.332781,-1.382613
20,2,-2.842328,7.704434,-1.402541
20,3,1.446072,7.492149,-1.402541
20,4,0.816574,5.224702,-1.422469
20,5,-0.784951,2.657096,-1.422469
20,6,-2.855131,7.637966,-1.402541
