station_code,station_name,city,lon,lat,O3_missing_pct,PM25_missing_pct,PM10_missing_pct
1001A,万寿西宫,北京,116.3621,39.8784,7.54,0.79,0.98
1002A,定陵(对照点),北京,116.2202,40.2915,0.38,1.5,0.57
1003A,东四,北京,116.4174,39.9289,1.04,0.55,1.06
1004A,天坛,北京,116.4072,39.8863,2.57,0.71,0.54
1005A,农展馆,北京,116.462,39.9365,5.01,1.61,1.48
1006A,官园,北京,116.3392,39.9295,7.67,0.67,0.83
1007A,海淀万柳,北京,116.2878,39.9611,8.54,2.33,2.15
1008A,顺义新城,北京,116.6636,40.135,1.89,1.41,1.14
1009A,怀柔镇,北京,116.6275,40.3275,1.12,0.7,0.81
1010A,昌平镇,北京,116.2296,40.217,2.52,1.22,0.77
1011A,奥体中心,北京,116.3966,39.9821,1.77,0.73,0.59
1012A,古城,北京,116.184,39.9136,3.12,0.54,0.56
1015A,勤俭道,天津,117.1444,39.1661,2.02,1.71,1.7
1018A,前进道,天津,117.202,39.0927,1.95,1.72,1.98
1024A,永明路,天津,117.457,38.8394,3.43,1.12,1.27
1026A,汉北路,天津,117.764,39.1587,1.27,0.77,0.76
1029A,职工医院,石家庄,114.4422,38.0444,2.48,1.96,2.02
1031A,西北水源,石家庄,114.4898,38.1328,3.63,2.15,1.84
1040A,十二中,唐山,118.1705,39.6506,6.44,2.25,2.1
1046A,建设大厦,秦皇岛,119.5251,39.9041,2.28,1.72,1.79
1053A,接待中心,保定,115.4713,38.9108,5.62,2.0,2.06
1056A,监测站,保定,115.5086,38.8639,1.59,2.18,2.2
1057A,人民公园,张家口,114.8883,40.8336,0.92,1.48,1.38
1060A,世纪豪园,张家口,114.8902,40.762,1.77,1.4,1.48
1062A,铁路,承德,117.9531,40.9081,1.08,1.01,1.58
1063A,中国银行,承德,117.9392,40.9763,2.57,2.21,3.81
1064A,开发区,承德,117.9503,40.928,0.95,0.96,1.01
1065A,文化中心,承德,117.8051,40.9655,2.81,1.9,2.15
1067A,药材公司,廊坊,116.6708,39.5111,3.51,1.61,1.73
1068A,开发区,廊坊,116.7214,39.5589,2.28,1.72,1.79
1071A,沧县城建局,沧州,116.8842,38.2991,1.84,1.32,2.04
1073A,市环保局,沧州,116.8709,38.3228,1.84,1.51,1.69
1081A,尖草坪,太原,112.5139,37.8873,0.89,0.67,0.8
1084A,晋源,太原,112.469,37.7124,1.18,0.83,1.18
1085A,小店,太原,112.5583,37.7394,1.56,1.25,1.31
1086A,桃园,太原,112.5369,37.8692,1.25,0.8,0.98
1087A,坞城,太原,112.57,37.8195,1.45,0.98,1.16
1088A,南寨,太原,112.549,37.9854,2.9,1.59,1.77
1091A,小召,呼和浩特,111.6572,40.8033,1.23,1.65,2.72
1306A,长清党校,济南,116.7675,36.5484,1.65,2.16,1.97
1616A,技术学院,济南,117.6795,36.229,1.79,1.07,3.29
1622A,儿童乐园,德州,116.3032,37.4674,0.98,1.53,0.89
1624A,监理站,德州,116.2991,37.4451,1.18,1.16,1.17
1739A,赛鱼,阳泉,113.4894,37.8731,1.47,0.7,0.65
1740A,南庄,阳泉,113.5819,37.8486,1.87,1.95,1.51
1742A,平坦,阳泉,113.5614,37.8703,1.35,1.01,1.02
1743A,大阳泉,阳泉,113.5158,37.8392,2.09,1.25,1.84
1961A,东山小学,济南,117.532,36.6868,1.67,1.47,1.56
2166A,平朔,朔州,112.4397,39.3522,2.03,1.95,7.08
2167A,朔唯,朔州,112.4575,39.3617,1.94,1.62,3.64
2170A,市二中,朔州,112.4272,39.3681,1.2,1.34,0.93
2181A,开发区,忻州,112.7383,38.4519,1.25,1.54,1.47
2197A,集宁新区,乌兰察布,113.1306,40.9923,1.2,1.1,1.14
2385A,市监测站,鹤壁,114.17,35.9019,2.72,1.89,1.92
2386A,市交警支队,鹤壁,114.2956,35.7511,5.15,1.88,1.94
2858A,河西一经路,天津,117.7918,39.2474,2.76,1.41,1.32
2860A,宾水西道,天津,117.1589,39.0845,1.63,1.16,1.12
2919A,河北工业大学,廊坊,116.7022,39.5453,1.89,1.27,1.34
2922A,大理道,天津,117.1941,39.1067,1.07,0.56,0.81
3020A,中山北路,天津,117.2101,39.1699,2.1,1.38,1.37
3034A,光明街小学,乌兰察布,113.1076,41.0385,1.31,1.11,1.09
3051A,西四道,天津,117.3876,39.1488,6.93,0.65,0.73
3131A,烟厂,张家口,114.879,40.7993,1.88,1.47,1.98
3132A,文明里,秦皇岛,119.610547,39.943889,1.33,1.86,1.59
3281A,延庆夏都,北京,115.9718,40.4529,0.86,0.47,0.59
3323A,青少年活动中心,张家口,115.2773,40.9724,1.88,1.88,1.98
3324A,河北水利电力学院,沧州,116.8136,38.3004,1.48,1.85,7.0
3325A,雍阳西道,天津,117.0365,39.3828,1.59,0.72,0.57
3326A,辛老路,天津,117.0296,39.0605,4.22,1.72,1.62
3327A,地纬路,天津,116.9638,38.9375,2.71,0.77,0.81
3372A,太阳城中学,德州,116.3572,37.4094,1.53,1.82,1.55
3417A,平谷新城,北京,117.0709,40.1465,0.8,0.69,0.92
3418A,密云新城,北京,116.8336,40.4095,0.5,0.48,0.45
3421A,市委党校,乌兰察布,113.1775,40.9779,1.85,1.22,2.05
3456A,鹿泉一中,石家庄,114.289,38.0906,1.37,1.38,1.59
3460A,北环路,天津,117.4067,40.0583,1.0,0.84,0.6
3461A,建设路,天津,117.3045,39.7169,1.28,0.94,1.12
3462A,滨水东路,天津,117.8199,39.3521,2.48,0.67,0.42
3474A,大新区,鹤壁,114.2617,35.6822,2.76,2.05,2.86
3495A,锦屏中学,济南,117.1171,36.63,1.73,1.85,1.96
3567A,区一中,大同,113.5931,40.0461,1.23,1.62,2.03
3571A,一水厂,朔州,112.2931,39.53,1.69,1.95,1.9
3618A,金胜,太原,112.4701,37.782,1.37,0.98,0.78
3619A,龙柱,阳泉,113.617,37.8571,1.23,1.37,1.04
3671A,门头沟三家店,北京,116.088,39.9726,1.08,0.53,0.49
3672A,丰台云岗,北京,116.1541,39.8204,3.22,1.43,1.25
3673A,通州东关,北京,116.6804,39.9081,4.99,0.33,0.37
3674A,房山燕山,北京,115.9577,39.7603,0.71,0.69,0.85
3675A,大兴旧宫,北京,116.4672,39.7733,2.75,1.63,1.2
3693A,路南电大,唐山,118.1436,39.6202,2.4,1.55,1.71
3694A,延庆石河营,北京,115.986,40.4563,1.09,0.5,0.64
3695A,怀柔新城,北京,116.6151,40.3053,0.54,0.65,0.62
3697A,密云镇,北京,116.84,40.3844,6.09,1.0,1.32
3698A,红旗小学,呼和浩特,111.5968,40.8178,1.89,2.34,2.54
3699A,海东办,呼和浩特,111.6518,40.8389,1.31,2.41,2.91
