data.name,model,model.N,model.epsilon_theta,model.d_h,model.T_h,model.T_p,model.sample_strategy,model.sample_steps,model.beta_end,n_samples,epoch,best_epoch,batch_size,lr,wd,early_stop,is_test,log_time,mae,rmse,mape,crps,mis,time,model_path,log_path,forecast_path
AIR_N95,UGnet,200,UGnet,32,24,6,ddim_multi,40,0.1,8,300,0,16,0.002,1e-05,10,True,10:42:37,0.4685714,0.5319472,2818.3472,3.534199363306949,1.7105745,169.1753225729999,/mnt/d/时空数据/白文豪/week1/DiffSTG/output/model/UGnet+32+200+quad+0.1+200+ddpm+24+6+8+True+AIR_N95+0.0+True+False+0.002+16N-200+T_h-24+T_p-6+epsilon_theta-UGnet.dm4stg,/mnt/d/时空数据/白文豪/week1/DiffSTG/output/log//UGnet+32+200+quad+0.1+200+ddpm+24+6+8+True+AIR_N95+0.0+True+False+0.002+16.log,/mnt/d/时空数据/白文豪/week1/DiffSTG/output/forecast/UGnet+32+200+quad+0.1+200+ddpm+24+6+8+True+AIR_N95+0.0+True+False+0.002+16.pkl
AIR_N95,UGnet,200,UGnet,32,24,6,ddim_multi,40,0.1,8,300,1,32,0.0001,1e-05,10,True,9:31:1,0.42015833,0.4842282,2549.878,3.0537117405941614,1.56975,98.59436307600004,/mnt/d/时空数据/白文豪/week1/DiffSTG/output/model/UGnet+32+200+quad+0.1+200+ddpm+24+6+8+True+AIR_N95+0.0+True+False+0.0001+32+42N-200+T_h-24+T_p-6+epsilon_theta-UGnet.dm4stg,/mnt/d/时空数据/白文豪/week1/DiffSTG/output/log//UGnet+32+200+quad+0.1+200+ddpm+24+6+8+True+AIR_N95+0.0+True+False+0.0001+32+42.log,/mnt/d/时空数据/白文豪/week1/DiffSTG/output/forecast/UGnet+32+200+quad+0.1+200+ddpm+24+6+8+True+AIR_N95+0.0+True+False+0.0001+32+42.pkl
AIR_N95,UGnet,200,UGnet,32,24,6,ddim_multi,40,0.1,8,300,44,32,0.0001,1e-05,10,False,22:43:12,0.050470762,0.06276135,290.32202,0.4775336918077971,0.73783976,2368.641316240006,/mnt/d/时空数据/白文豪/week1/DiffSTG/output/model/UGnet+32+200+quad+0.1+200+ddpm+24+6+8+AIR_N95+0.0001+32+42+0.0+300+10+0.001+/mnt/d/时空数据/白文豪/week2/DiffSTG/outputN-200+T_h-24+T_p-6+epsilon_theta-UGnet.dm4stg,/mnt/d/时空数据/白文豪/week1/DiffSTG/output/log//UGnet+32+200+quad+0.1+200+ddpm+24+6+8+AIR_N95+0.0001+32+42+0.0+300+10+0.001+/mnt/d/时空数据/白文豪/week2/DiffSTG/output.log,/mnt/d/时空数据/白文豪/week1/DiffSTG/output/forecast/UGnet+32+200+quad+0.1+200+ddpm+24+6+8+AIR_N95+0.0001+32+42+0.0+300+10+0.001+/mnt/d/时空数据/白文豪/week2/DiffSTG/output.pkl
AIR_N95,UGnet,200,UGnet,32,24,1,ddim_multi,40,0.1,8,300,46,32,0.0001,1e-05,10,False,18:54:55,0.01919402,0.024409708,87.543045,0.1765712436876799,0.22391921,592.137964153997,/mnt/d/时空数据/白文豪/week1/DiffSTG/output/model/UGnet+32+200+quad+0.1+200+ddpm+24+1+8+AIR_N95+0.0001+32+42+0.0+300+10+0.001+/mnt/d/时空数据/白文豪/week2/DiffSTG/outputN-200+T_h-24+T_p-1+epsilon_theta-UGnet.dm4stg,/mnt/d/时空数据/白文豪/week1/DiffSTG/output/log//UGnet+32+200+quad+0.1+200+ddpm+24+1+8+AIR_N95+0.0001+32+42+0.0+300+10+0.001+/mnt/d/时空数据/白文豪/week2/DiffSTG/output.log,/mnt/d/时空数据/白文豪/week1/DiffSTG/output/forecast/UGnet+32+200+quad+0.1+200+ddpm+24+1+8+AIR_N95+0.0001+32+42+0.0+300+10+0.001+/mnt/d/时空数据/白文豪/week2/DiffSTG/output.pkl
AIR_N95_PM25,UGnet,200,UGnet,32,24,6,ddim_multi,40,0.1,8,300,47,32,0.0001,1e-05,10,False,19:58:44,0.028274244,0.053691648,2.1594075e+06,0.3709475366692794,0.53259116,6596.871961512999,/mnt/d/时空数据/白文豪/week1/DiffSTG/output/model/UGnet+32+200+quad+0.1+200+ddpm+24+6+8+AIR_N95_PM25+0.0001+32+42+0.0+300+10+0.001+/mnt/d/时空数据/白文豪/week2/DiffSTG/outputN-200+T_h-24+T_p-6+epsilon_theta-UGnet.dm4stg,/mnt/d/时空数据/白文豪/week1/DiffSTG/output/log//UGnet+32+200+quad+0.1+200+ddpm+24+6+8+AIR_N95_PM25+0.0001+32+42+0.0+300+10+0.001+/mnt/d/时空数据/白文豪/week2/DiffSTG/output.log,/mnt/d/时空数据/白文豪/week1/DiffSTG/output/forecast/UGnet+32+200+quad+0.1+200+ddpm+24+6+8+AIR_N95_PM25+0.0001+32+42+0.0+300+10+0.001+/mnt/d/时空数据/白文豪/week2/DiffSTG/output.pkl
AIR_N95_PM10,UGnet,200,UGnet,32,24,6,ddim_multi,40,0.1,8,300,26,32,0.0001,1e-05,10,False,0:46:31,0.014041113,0.039959125,63.280106,0.39690236041420385,0.31985298,1167.0542586759984,/mnt/d/时空数据/白文豪/week1/DiffSTG/output/model/UGnet+32+200+quad+0.1+200+ddpm+24+6+8+AIR_N95_PM10+0.0001+32+42+0.0+300+10+0.001+/mnt/d/时空数据/白文豪/week2/DiffSTG/outputN-200+T_h-24+T_p-6+epsilon_theta-UGnet.dm4stg,/mnt/d/时空数据/白文豪/week1/DiffSTG/output/log//UGnet+32+200+quad+0.1+200+ddpm+24+6+8+AIR_N95_PM10+0.0001+32+42+0.0+300+10+0.001+/mnt/d/时空数据/白文豪/week2/DiffSTG/output.log,/mnt/d/时空数据/白文豪/week1/DiffSTG/output/forecast/UGnet+32+200+quad+0.1+200+ddpm+24+6+8+AIR_N95_PM10+0.0001+32+42+0.0+300+10+0.001+/mnt/d/时空数据/白文豪/week2/DiffSTG/output.pkl
AIR_N95_CORR,UGnet,200,UGnet,32,24,6,ddim_multi,40,0.1,8,300,27,32,0.0001,1e-05,10,False,16:49:30,0.050368182,0.06290917,288.2773,0.4774407838520251,0.7541059,899.0698323289998,/mnt/d/时空数据/白文豪/week1/DiffSTG/output/model/UGnet+32+200+quad+0.1+200+ddpm+24+6+8+AIR_N95_CORR+0.0001+32+42+0.0+300+10+0.001+/mnt/d/时空数据/白文豪/week2/DiffSTG/outputN-200+T_h-24+T_p-6+epsilon_theta-UGnet.dm4stg,/mnt/d/时空数据/白文豪/week1/DiffSTG/output/log//UGnet+32+200+quad+0.1+200+ddpm+24+6+8+AIR_N95_CORR+0.0001+32+42+0.0+300+10+0.001+/mnt/d/时空数据/白文豪/week2/DiffSTG/output.log,/mnt/d/时空数据/白文豪/week1/DiffSTG/output/forecast/UGnet+32+200+quad+0.1+200+ddpm+24+6+8+AIR_N95_CORR+0.0001+32+42+0.0+300+10+0.001+/mnt/d/时空数据/白文豪/week2/DiffSTG/output.pkl
AIR_N95_PE,UGnet,200,UGnet,32,24,6,ddim_multi,40,0.1,8,300,54,32,0.0001,1e-05,10,False,0:48:9,0.045471173,0.056815036,262.13324,0.42179283342863383,0.579667,1162.042363987006,/mnt/d/时空数据/白文豪/week1/DiffSTG/output/model/UGnet+32+200+quad+0.1+200+ddpm+24+6+8+AIR_N95_PE+0.0001+32+42+0.0+300+10+0.001+/mnt/d/时空数据/白文豪/week2/DiffSTG/outputN-200+T_h-24+T_p-6+epsilon_theta-UGnet.dm4stg,/mnt/d/时空数据/白文豪/week1/DiffSTG/output/log//UGnet+32+200+quad+0.1+200+ddpm+24+6+8+AIR_N95_PE+0.0001+32+42+0.0+300+10+0.001+/mnt/d/时空数据/白文豪/week2/DiffSTG/output.log,/mnt/d/时空数据/白文豪/week1/DiffSTG/output/forecast/UGnet+32+200+quad+0.1+200+ddpm+24+6+8+AIR_N95_PE+0.0001+32+42+0.0+300+10+0.001+/mnt/d/时空数据/白文豪/week2/DiffSTG/output.pkl
AIR_N95,UGnet,200,UGnet,32,24,3,ddim_multi,40,0.1,8,300,89,32,0.0001,1e-05,10,False,23:1:54,0.037256684,0.04515228,200.26198,0.340257770136783,0.42027852,675.5517921479914,/mnt/d/时空数据/白文豪/week1/DiffSTG/output/model/UGnet+32+200+quad+0.1+200+ddpm+24+3+8+AIR_N95+0.0001+32+42+0.0+300+10+0.001+/mnt/d/时空数据/白文豪/week2/DiffSTG/outputN-200+T_h-24+T_p-3+epsilon_theta-UGnet.dm4stg,/mnt/d/时空数据/白文豪/week1/DiffSTG/output/log//UGnet+32+200+quad+0.1+200+ddpm+24+3+8+AIR_N95+0.0001+32+42+0.0+300+10+0.001+/mnt/d/时空数据/白文豪/week2/DiffSTG/output.log,/mnt/d/时空数据/白文豪/week1/DiffSTG/output/forecast/UGnet+32+200+quad+0.1+200+ddpm+24+3+8+AIR_N95+0.0001+32+42+0.0+300+10+0.001+/mnt/d/时空数据/白文豪/week2/DiffSTG/output.pkl
AIR_N95,UGnet,200,UGnet,32,24,12,ddim_multi,40,0.1,8,300,14,32,0.0001,1e-05,10,False,14:34:13,0.06528887,0.08088382,393.28143,0.6206582721910978,0.98387563,3440.829142666982,/mnt/d/时空数据/白文豪/week1/DiffSTG/output/model/UGnet+32+200+quad+0.1+200+ddpm+24+12+8+AIR_N95+0.0001+32+42+0.0+300+10+0.001+/mnt/d/时空数据/白文豪/week2/DiffSTG/outputN-200+T_h-24+T_p-12+epsilon_theta-UGnet.dm4stg,/mnt/d/时空数据/白文豪/week1/DiffSTG/output/log//UGnet+32+200+quad+0.1+200+ddpm+24+12+8+AIR_N95+0.0001+32+42+0.0+300+10+0.001+/mnt/d/时空数据/白文豪/week2/DiffSTG/output.log,/mnt/d/时空数据/白文豪/week1/DiffSTG/output/forecast/UGnet+32+200+quad+0.1+200+ddpm+24+12+8+AIR_N95+0.0001+32+42+0.0+300+10+0.001+/mnt/d/时空数据/白文豪/week2/DiffSTG/output.pkl
