,O3,PM2.5,PM10
20220101,366,352,349
20220102,345,322,317
20220103,344,332,326
20220104,351,326,320
20220105,352,324,318
20220106,375,312,308
20220107,352,320,316
20220108,339,314,311
20220109,364,321,318
20220110,352,317,316
20220111,343,324,319
20220112,338,315,316
20220113,331,323,314
20220114,337,322,318
20220115,336,314,314
20220116,350,328,315
20220117,324,316,316
20220118,336,319,317
20220119,351,310,313
20220120,331,320,319
20220121,323,319,315
20220122,337,320,315
20220123,344,323,325
20220124,331,314,312
20220125,328,321,321
20220126,323,322,325
20220127,322,320,324
20220128,314,319,321
20220129,313,322,323
20220130,312,326,324
20220131,313,313,313
20220201,305,316,314
20220202,308,307,314
20220203,315,317,315
20220204,313,319,317
20220205,313,316,320
20220206,309,314,317
20220207,311,313,321
20220208,311,320,323
20220209,314,313,315
20220210,329,326,320
20220211,320,320,318
20220212,334,320,321
20220213,318,310,312
20220214,317,309,316
20220215,315,312,311
20220216,323,313,308
20220217,322,316,322
20220218,317,315,325
20220219,315,327,339
20220220,318,355,370
20220221,318,325,317
20220222,314,316,322
20220223,312,326,333
20220224,323,310,307
20220225,327,308,308
20220226,324,315,310
20220227,329,310,307
20220228,321,313,318
20220301,320,317,311
20220302,333,308,312
20220303,338,318,314
20220304,322,311,307
20220305,332,313,307
20220306,321,317,315
20220307,329,325,321
20220308,324,313,310
20220309,329,313,311
20220310,313,309,307
20220311,325,310,311
20220312,314,312,308
20220313,329,314,309
20220314,317,311,309
20220315,326,316,313
20220316,321,315,314
20220317,312,320,314
20220318,323,325,325
20220319,318,312,308
20220320,312,316,314
20220321,308,321,312
20220322,309,330,320
20220323,321,320,321
20220324,313,318,309
20220325,342,324,315
20220326,336,323,318
20220327,320,321,323
20220328,313,320,315
20220329,314,320,323
20220330,336,316,317
20220331,330,325,321
20220401,309,314,317
20220402,318,325,324
20220403,316,322,313
20220404,316,323,319
20220405,319,315,313
20220406,325,321,315
20220407,324,318,319
20220408,332,324,321
20220409,324,325,317
20220410,313,318,314
20220411,319,322,315
20220412,321,333,324
20220413,328,335,325
20220414,321,335,326
20220415,311,321,321
20220416,315,332,323
20220417,319,324,319
20220418,319,331,324
20220419,326,326,326
20220420,331,323,314
20220421,330,321,314
20220422,313,322,317
20220423,331,326,326
20220424,327,333,319
20220425,332,350,337
20220426,336,340,328
20220427,329,337,326
20220428,324,327,327
20220429,325,336,334
20220430,317,324,321
20220501,322,346,331
20220502,318,332,325
20220503,316,318,315
20220504,318,326,318
20220505,330,326,319
20220506,323,330,326
20220507,330,333,325
20220508,312,333,314
20220509,316,326,317
20220510,312,323,316
20220511,323,340,323
20220512,319,334,320
20220513,327,339,335
20220514,317,339,334
20220515,323,342,329
20220516,319,348,337
20220517,325,323,320
20220518,326,329,328
20220519,327,336,331
20220520,331,324,325
20220521,326,327,324
20220522,326,325,324
20220523,325,329,326
20220524,329,332,328
20220525,327,337,334
20220526,325,335,332
20220527,327,333,327
20220528,325,335,320
20220529,336,333,329
20220530,349,356,339
20220531,325,338,329
20220601,325,340,329
20220602,327,338,324
20220603,336,341,331
20220604,327,354,327
20220605,326,358,331
20220606,330,362,346
20220607,323,325,321
20220608,321,328,326
20220609,320,332,330
20220610,330,346,331
20220611,320,341,330
20220612,324,336,335
20220613,344,353,347
20220614,332,340,338
20220615,340,337,334
20220616,334,341,343
20220617,333,349,344
20220618,339,351,335
20220619,341,359,339
20220620,327,364,343
20220621,326,343,337
20220622,341,364,343
20220623,343,369,355
20220624,347,377,355
20220625,341,363,343
20220626,341,348,340
20220627,344,386,357
20220628,344,401,360
20220629,354,370,345
20220630,355,371,350
20220701,358,387,370
20220702,346,368,362
20220703,351,369,363
20220704,358,373,358
20220705,345,371,348
20220706,357,406,371
20220707,350,385,350
20220708,370,386,356
20220709,354,368,351
20220710,357,376,356
20220711,352,372,355
20220712,356,367,357
20220713,359,367,356
20220714,353,366,350
20220715,635,660,621
20220716,366,382,373
20220717,358,376,363
20220718,351,362,356
20220719,360,371,363
20220720,364,375,362
20220721,366,382,364
20220722,398,404,390
20220723,365,378,363
20220724,365,377,363
20220725,366,373,362
20220726,373,388,381
20220727,364,390,365
20220728,363,388,375
20220729,371,387,370
20220730,351,373,354
20220731,362,372,363
20220801,364,380,367
20220802,372,387,366
20220803,369,377,374
20220804,369,380,368
20220805,380,393,375
20220806,370,387,371
20220807,375,393,375
20220808,375,397,377
20220809,375,394,375
20220810,352,385,363
20220811,370,388,372
20220812,372,397,383
20220813,379,394,377
20220814,362,379,365
20220815,371,386,375
20220816,373,401,381
20220817,378,399,373
20220818,372,396,376
20220819,375,392,374
20220820,367,387,367
20220821,367,387,369
20220822,378,406,376
20220823,379,410,381
20220824,377,395,372
20220825,366,376,371
20220826,371,397,382
20220827,380,395,372
20220828,383,396,373
20220829,379,398,374
20220830,378,395,373
20220831,381,412,381
20220901,381,395,381
20220902,381,381,372
20220903,375,395,377
20220904,371,398,385
20220905,429,454,443
20220906,360,367,364
20220907,367,373,366
20220908,376,381,376
20220909,368,388,379
