group,student,experiment_id,model,seq_len,pre_len,seed,use_diffusion,use_pe_graph,use_pe_film,pe_adaptive_loss,lr,epochs,best_epoch,rmse,mae,mape,crps,step1_rmse,step6_rmse,output_dir,log_file,notes
g3,,g3_diffstg_p1_l24_s42,DiffSTG,24,1,42,1,0,0,0,0.0001,300,47,0.0244,0.0192,87.54,0.1766,,,白文豪/week2/DiffSTG/output/,白文豪/week2/DiffSTG/output/prelen1_train.log,z-score归一化值
g3,,g3_diffstg_p3_l24_s42,DiffSTG,24,3,42,1,0,0,0,0.0001,300,90,0.0452,0.0373,200.26,0.3403,,,白文豪/week2/DiffSTG/output/,白文豪/week2/DiffSTG/output/pre3_train.log,z-score归一化值
g3,,g3_diffstg_p6_l24_s42,DiffSTG,24,6,42,1,0,0,0,0.0001,300,45,0.0628,0.0505,290.32,0.4775,,,白文豪/week2/DiffSTG/output/,白文豪/week2/DiffSTG/output/baseline_train.log,z-score归一化值
g3,,g3_diffstg_p12_l24_s42,DiffSTG,24,12,42,1,0,0,0,0.0001,300,15,0.0809,0.0653,393.28,0.6207,,,白文豪/week2/DiffSTG/output/,白文豪/week2/DiffSTG/output/prelen12_train.log,z-score归一化值
g3,,g3_diffstg_p24_l24_s42,DiffSTG,24,24,42,1,0,0,0,0.0001,300,,,,,,,,白文豪/week2/DiffSTG/output/,白文豪/week2/DiffSTG/output/pre24_train.log,运行中
g3,,g3_diffstg_o3_adj,DiffSTG,24,6,42,1,0,0,0,0.0001,300,45,0.0628,0.0505,290.32,0.4775,,,白文豪/week2/DiffSTG/output/,白文豪/week2/DiffSTG/output/baseline_train.log,空间距离图
g3,,g3_diffstg_corr_adj,DiffSTG,24,6,42,1,0,0,0,0.0001,300,28,0.0629,0.0504,288.28,0.4774,,,白文豪/week2/DiffSTG/output/,白文豪/week2/DiffSTG/output/corr_train.log,相关图
g3,,g3_diffstg_pe_adj,DiffSTG,24,6,42,1,0,0,0,0.0001,300,55,0.0568,0.0455,262.13,0.4218,,,白文豪/week2/DiffSTG/output/,白文豪/week2/DiffSTG/output/pe_train.log,PE图
g3,,g3_diffstg_pm25,DiffSTG,24,6,42,1,0,0,0,0.0001,300,48,0.0537,0.0283,,0.3709,,,白文豪/week2/DiffSTG/output/,白文豪/week2/DiffSTG/output/pm25_train.log,AIR_N95_PM25
g3,,g3_diffstg_pm10,DiffSTG,24,6,42,1,0,0,0,0.0001,300,27,0.0400,0.0140,63.28,0.3969,,,白文豪/week2/DiffSTG/output/,白文豪/week2/DiffSTG/output/pm10_train.log,AIR_N95_PM10
