date,pollutant,mean,std,min,max,count
2022-01-01,O3,29.935666982024596,26.05586069198212,1.0,86.0,2114
2022-01-01,PM2.5,51.01121579183491,35.410612727914696,1.0,181.0,2229
2022-01-01,PM10,91.48912058023572,48.82555975186946,4.0,271.0,2206
2022-01-02,O3,32.453285650424675,19.574101474270023,1.0,74.0,2237
2022-01-02,PM2.5,24.466341895482728,19.715513690081686,1.0,146.0,2258
2022-01-02,PM10,53.2417145382236,39.249683889664865,1.0,267.0,2263
2022-01-03,O3,21.731103985341274,20.404264664748734,1.0,87.0,2183
2022-01-03,PM2.5,43.610789121711996,24.955236062033936,2.0,137.0,2243
2022-01-03,PM10,82.78947368421052,42.28263210244463,3.0,285.0,2242
2022-01-04,O3,19.21474358974359,17.355107729759073,1.0,78.0,2184
2022-01-04,PM2.5,48.20364606491774,26.244809180832572,1.0,160.0,2249
2022-01-04,PM10,86.22609472743521,45.27368662541086,1.0,310.0,2238
2022-01-05,O3,15.31508805330795,15.010410661564213,1.0,97.0,2101
2022-01-05,PM2.5,61.08125,27.226474219727756,4.0,172.0,2240
2022-01-05,PM10,93.91157989228007,46.57033435405681,1.0,385.0,2228
2022-01-06,O3,17.013783269961976,18.383000189115705,1.0,89.0,2104
2022-01-06,PM2.5,80.38561215370866,38.76579050239849,1.0,252.0,2238
2022-01-06,PM10,115.46305418719211,59.60965427767256,1.0,359.0,2233
2022-01-07,O3,18.117091595845135,21.46254133351935,1.0,150.0,2118
2022-01-07,PM2.5,106.42456608811749,44.42944414323339,3.0,292.0,2247
2022-01-07,PM10,139.11378848728248,62.25380240832916,1.0,374.0,2241
2022-01-08,O3,25.277751973989783,24.3291974535083,1.0,97.0,2153
2022-01-08,PM2.5,88.4074074074074,48.854594553379656,2.0,219.0,2268
2022-01-08,PM10,114.76457597173145,62.88362659909834,2.0,307.0,2264
2022-01-09,O3,20.710164835164836,18.72965971624638,1.0,101.0,2184
2022-01-09,PM2.5,76.12984154929578,59.170895285761524,2.0,376.0,2272
2022-01-09,PM10,106.77200704225352,73.36056735845818,4.0,527.0,2272
2022-01-10,O3,38.156537753222835,25.76114589331391,1.0,80.0,2172
2022-01-10,PM2.5,48.71971390254806,59.080766720249365,1.0,293.0,2237
2022-01-10,PM10,70.78198198198199,71.55673890388127,1.0,410.0,2220
2022-01-11,O3,32.25134168157424,20.889079517812664,1.0,89.0,2236
2022-01-11,PM2.5,32.50901713255185,38.79261128820625,1.0,229.0,2218
2022-01-11,PM10,53.933958054439984,47.26738163111551,1.0,263.0,2241
2022-01-12,O3,31.415823367065318,23.708072909922382,1.0,75.0,2174
2022-01-12,PM2.5,41.99600532623169,47.02905847345984,1.0,261.0,2253
2022-01-12,PM10,69.32770870337478,54.435012465681936,1.0,302.0,2252
2022-01-13,O3,35.589445438282645,19.64411803557244,1.0,77.0,2236
2022-01-13,PM2.5,21.20747074707471,22.362685866537497,1.0,192.0,2222
2022-01-13,PM10,41.78703286807744,33.290328253433344,1.0,218.0,2221
2022-01-14,O3,22.388181818181817,19.57111151123318,1.0,81.0,2200
2022-01-14,PM2.5,61.05111111111111,33.11334824657219,2.0,168.0,2250
2022-01-14,PM10,95.22093023255815,41.52523027944319,5.0,256.0,2236
2022-01-15,O3,37.024029574861366,25.315118904132444,1.0,82.0,2164
2022-01-15,PM2.5,53.47375444839858,44.48890486814382,1.0,173.0,2248
2022-01-15,PM10,84.22840605520926,55.24012113441323,2.0,263.0,2246
2022-01-16,O3,33.833260008798945,19.41407236244843,1.0,87.0,2273
2022-01-16,PM2.5,23.462505612932194,22.933413494750088,1.0,137.0,2227
2022-01-16,PM10,46.94722838137472,40.12509662587855,1.0,226.0,2255
2022-01-17,O3,28.959404600811908,22.69034502859083,1.0,84.0,2217
2022-01-17,PM2.5,27.732625055334218,18.239643565679124,1.0,125.0,2259
2022-01-17,PM10,53.292423571112096,31.99070118855941,2.0,210.0,2257
2022-01-18,O3,22.31632183908046,22.44218493444994,1.0,111.0,2175
2022-01-18,PM2.5,57.93446277307178,41.67627488817174,1.0,246.0,2243
2022-01-18,PM10,92.40819964349376,53.57529265133995,3.0,369.0,2244
2022-01-19,O3,25.697150735294116,19.72121206003791,1.0,81.0,2176
2022-01-19,PM2.5,58.108,38.59380926752085,1.0,238.0,2250
2022-01-19,PM10,90.39579606440071,54.47330639257587,1.0,362.0,2236
2022-01-20,O3,32.03382287494437,17.49007512397348,1.0,111.0,2247
2022-01-20,PM2.5,46.417109929078016,25.697145883173626,8.0,140.0,2256
2022-01-20,PM10,67.5491510277033,38.98615788236238,1.0,329.0,2238
2022-01-21,O3,25.187641980917764,14.715220415826641,1.0,61.0,2201
2022-01-21,PM2.5,63.02269692923898,22.2179582566685,13.0,155.0,2247
2022-01-21,PM10,79.23673651359786,30.188021977877526,2.0,191.0,2243
2022-01-22,O3,19.998112317130722,15.456312291131901,1.0,79.0,2119
2022-01-22,PM2.5,99.73528089887641,29.179930616157957,3.0,234.0,2225
2022-01-22,PM10,105.47316636851521,39.05915763507895,25.0,283.0,2236
2022-01-23,O3,28.549125168236877,21.46222563280749,1.0,94.0,2229
2022-01-23,PM2.5,110.06057906458797,28.5739751173628,15.0,214.0,2245
2022-01-23,PM10,109.9995537706381,37.27146934705698,4.0,299.0,2241
2022-01-24,O3,31.244926199261993,24.40713010754858,1.0,103.0,2168
2022-01-24,PM2.5,118.79821826280623,40.88470176846392,14.0,255.0,2245
