site_id,O3_rate,PM2.5_rate,PM10_rate
1001A,7.54,0.79,0.98
1002A,0.38,1.5,0.57
1003A,1.04,0.55,1.06
1004A,2.57,0.71,0.54
1005A,5.01,1.61,1.48
1006A,7.67,0.67,0.83
1007A,8.54,2.33,2.15
1008A,1.89,1.41,1.14
1009A,1.12,0.7,0.81
1010A,2.52,1.22,0.77
1011A,1.77,0.73,0.59
1012A,3.12,0.54,0.56
1015A,2.02,1.71,1.7
1018A,1.95,1.72,1.98
1024A,3.43,1.12,1.27
1026A,1.27,0.77,0.76
1029A,2.48,1.96,2.02
1031A,3.63,2.15,1.84
1040A,6.44,2.25,2.1
1046A,2.28,1.72,1.79
1053A,5.62,2.0,2.06
1056A,1.59,2.18,2.2
1057A,0.92,1.48,1.38
1060A,1.77,1.4,1.48
1062A,1.08,1.01,1.58
1063A,2.57,2.21,3.81
1064A,0.95,0.96,1.01
1065A,2.81,1.9,2.15
1067A,3.51,1.61,1.73
1068A,2.28,1.72,1.79
1071A,1.84,1.32,2.04
1073A,1.84,1.51,1.69
1081A,0.89,0.67,0.8
1084A,1.18,0.83,1.18
1085A,1.56,1.25,1.31
1086A,1.25,0.8,0.98
1087A,1.45,0.98,1.16
1088A,2.9,1.59,1.77
1091A,1.23,1.65,2.72
1306A,1.65,2.16,1.97
1616A,1.79,1.07,3.29
1622A,0.98,1.53,0.89
1624A,1.18,1.16,1.17
1739A,1.47,0.7,0.65
1740A,1.87,1.95,1.51
1742A,1.35,1.01,1.02
1743A,2.09,1.25,1.84
1961A,1.67,1.47,1.56
2166A,2.03,1.95,7.08
2167A,1.94,1.62,3.64
2170A,1.2,1.34,0.93
2181A,1.25,1.54,1.47
2197A,1.2,1.1,1.14
2385A,2.72,1.89,1.92
2386A,5.15,1.88,1.94
2858A,2.76,1.41,1.32
2860A,1.63,1.16,1.12
2919A,1.89,1.27,1.34
2922A,1.07,0.56,0.81
3020A,2.1,1.38,1.37
3034A,1.31,1.11,1.09
3051A,6.93,0.65,0.73
3131A,1.88,1.47,1.98
3132A,1.33,1.86,1.59
3281A,0.86,0.47,0.59
3323A,1.88,1.88,1.98
3324A,1.48,1.85,7.0
3325A,1.59,0.72,0.57
3326A,4.22,1.72,1.62
3327A,2.71,0.77,0.81
3372A,1.53,1.82,1.55
3417A,0.8,0.69,0.92
3418A,0.5,0.48,0.45
3421A,1.85,1.22,2.05
3456A,1.37,1.38,1.59
3460A,1.0,0.84,0.6
3461A,1.28,0.94,1.12
3462A,2.48,0.67,0.42
3474A,2.76,2.05,2.86
3495A,1.73,1.85,1.96
3567A,1.23,1.62,2.03
3571A,1.69,1.95,1.9
3618A,1.37,0.98,0.78
3619A,1.23,1.37,1.04
3671A,1.08,0.53,0.49
3672A,3.22,1.43,1.25
3673A,4.99,0.33,0.37
3674A,0.71,0.69,0.85
3675A,2.75,1.63,1.2
3693A,2.4,1.55,1.71
3694A,1.09,0.5,0.64
3695A,0.54,0.65,0.62
3697A,6.09,1.0,1.32
3698A,1.89,2.34,2.54
3699A,1.31,2.41,2.91
