监测点编码,监测点名称,城市,经度,纬度
1001A,万寿西宫,北京,116.3621,39.8784
1002A,定陵(对照点),北京,116.2202,40.2915
1003A,东四,北京,116.4174,39.9289
1004A,天坛,北京,116.4072,39.8863
1005A,农展馆,北京,116.462,39.9365
1006A,官园,北京,116.3392,39.9295
1007A,海淀万柳,北京,116.2878,39.9611
1008A,顺义新城,北京,116.6636,40.135
1009A,怀柔镇,北京,116.6275,40.3275
1010A,昌平镇,北京,116.2296,40.217
1011A,奥体中心,北京,116.3966,39.9821
1012A,古城,北京,116.184,39.9136
1015A,勤俭道,天津,117.1444,39.1661
1018A,前进道,天津,117.202,39.0927
1024A,永明路,天津,117.457,38.8394
1026A,汉北路,天津,117.764,39.1587
1029A,职工医院,石家庄,114.4422,38.0444
1031A,西北水源,石家庄,114.4898,38.1328
1040A,十二中,唐山,118.1705,39.6506
1046A,建设大厦,秦皇岛,119.5251,39.9041
1053A,接待中心,保定,115.4713,38.9108
1056A,监测站,保定,115.5086,38.8639
1057A,人民公园,张家口,114.8883,40.8336
1060A,世纪豪园,张家口,114.8902,40.762
1062A,铁路,承德,117.9531,40.9081
1063A,中国银行,承德,117.9392,40.9763
1064A,开发区,承德,117.9503,40.928
1065A,文化中心,承德,117.8051,40.9655
1067A,药材公司,廊坊,116.6708,39.5111
1068A,开发区,廊坊,116.7214,39.5589
1071A,沧县城建局,沧州,116.8842,38.2991
1073A,市环保局,沧州,116.8709,38.3228
1081A,尖草坪,太原,112.5139,37.8873
1084A,晋源,太原,112.469,37.7124
1085A,小店,太原,112.5583,37.7394
1086A,桃园,太原,112.5369,37.8692
1087A,坞城,太原,112.57,37.8195
1088A,南寨,太原,112.549,37.9854
1091A,小召,呼和浩特,111.6572,40.8033
1306A,长清党校,济南,116.7675,36.5484
1616A,技术学院,济南,117.6795,36.229
1622A,儿童乐园,德州,116.3032,37.4674
1624A,监理站,德州,116.2991,37.4451
1739A,赛鱼,阳泉,113.4894,37.8731
1740A,南庄,阳泉,113.5819,37.8486
1742A,平坦,阳泉,113.5614,37.8703
1743A,大阳泉,阳泉,113.5158,37.8392
1961A,东山小学,济南,117.532,36.6868
2166A,平朔,朔州,112.4397,39.3522
2167A,朔唯,朔州,112.4575,39.3617
2170A,市二中,朔州,112.4272,39.3681
2181A,开发区,忻州,112.7383,38.4519
2197A,集宁新区,乌兰察布,113.1306,40.9923
2385A,市监测站,鹤壁,114.17,35.9019
2386A,市交警支队,鹤壁,114.2956,35.7511
2858A,河西一经路,天津,117.7918,39.2474
2860A,宾水西道,天津,117.1589,39.0845
2919A,河北工业大学,廊坊,116.7022,39.5453
2922A,大理道,天津,117.1941,39.1067
3020A,中山北路,天津,117.2101,39.1699
3034A,光明街小学,乌兰察布,113.1076,41.0385
3051A,西四道,天津,117.3876,39.1488
3131A,烟厂,张家口,114.879,40.7993
3132A,文明里,秦皇岛,119.610547,39.943889
3281A,延庆夏都,北京,115.9718,40.4529
3323A,青少年活动中心,张家口,115.2773,40.9724
3324A,河北水利电力学院,沧州,116.8136,38.3004
3325A,雍阳西道,天津,117.0365,39.3828
3326A,辛老路,天津,117.0296,39.0605
3327A,地纬路,天津,116.9638,38.9375
3372A,太阳城中学,德州,116.3572,37.4094
3417A,平谷新城,北京,117.0709,40.1465
3418A,密云新城,北京,116.8336,40.4095
3421A,市委党校,乌兰察布,113.1775,40.9779
3456A,鹿泉一中,石家庄,114.289,38.0906
3460A,北环路,天津,117.4067,40.0583
3461A,建设路,天津,117.3045,39.7169
3462A,滨水东路,天津,117.8199,39.3521
3474A,大新区,鹤壁,114.2617,35.6822
3495A,锦屏中学,济南,117.1171,36.63
3567A,区一中,大同,113.5931,40.0461
3571A,一水厂,朔州,112.2931,39.53
3618A,金胜,太原,112.4701,37.782
3619A,龙柱,阳泉,113.617,37.8571
3671A,门头沟三家店,北京,116.088,39.9726
3672A,丰台云岗,北京,116.1541,39.8204
3673A,通州东关,北京,116.6804,39.9081
3674A,房山燕山,北京,115.9577,39.7603
3675A,大兴旧宫,北京,116.4672,39.7733
3693A,路南电大,唐山,118.1436,39.6202
3694A,延庆石河营,北京,115.986,40.4563
3695A,怀柔新城,北京,116.6151,40.3053
3697A,密云镇,北京,116.84,40.3844
3698A,红旗小学,呼和浩特,111.5968,40.8178
3699A,海东办,呼和浩特,111.6518,40.8389
